|positive|,2019-02-09 ,"b' JUST UPDATED: $MSFT Microsoft  Valuation, Earnings Quality, and Dividend Safety Scores.  Stock Analysis:\xe2\x80\xa6 https://t.co/eCclDlixqH'",1.0

|neutral|,2019-02-09 ,"b"" RT @MotleyFoolMoney: The Bezos letter, IPOs we're looking forward to, a sneak preview of next week's live Q&amp;A and that's just the start! @a\xe2\x80\xa6""",0.0

|positive|,2019-02-09 ,"b' RT @theflynews: Third Point buys Cigna, sells United Technologies, Alibaba and Netflix in Q4 $CI $UTX $BABA $MSFT $NFLX $MPC $CRM $CPB $SHP\xe2\x80\xa6'",1.0

|neutral|,2019-02-09 ,"b' RT @GetInEarly: $FUSZD, The #NASDAQ Clock Is Ticking. Ringing the NASDAQ Bell This Month! Partnered with: $MSFT, $CRM, $ORCL, $FB, $SAP, $I\xe2\x80\xa6'",0.0

|positive|,2019-02-09 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|neutral|,2019-02-09 ,b' It Might Be $MYL Not $TEVA That Launches The First Generic Restasis in The USA!  $aapl $amzn $agn $brk $bhc $crm\xe2\x80\xa6 https://t.co/MJoNyp26MQ',0.0

|positive|,2019-02-09 ,"b' My video with @SteHaller, author of If You Can Order a Pizza You Can Trade just went live on YouTube here: Great wo\xe2\x80\xa6 https://t.co/DJLfTr8Sw3'",3.0

|neutral|,2019-02-09 ,"b"" RT @MotleyFoolMoney: The Bezos letter, IPOs we're looking forward to, a sneak preview of next week's live Q&amp;A and that's just the start! @a\xe2\x80\xa6""",0.0

|positive|,2019-02-09 ,"b' Microsoft $MSFT Shareholder Plancorp Lowered Stake by $374,718 as Shares Declined; Avery Dennison $AVY Stock Price\xe2\x80\xa6 https://t.co/uKm2tSIVB7'",1.0

|positive|,2019-02-09 ,"b' Western Un Co $WU Holder Oppenheimer Asset Management Has Decreased Its Holding by $787,892; Microsoft $MSFT Holder\xe2\x80\xa6 https://t.co/VWE8KUsdkc'",2.0

|positive|,2019-02-09 ,"b' RT @theflynews: Third Point buys Cigna, sells United Technologies, Alibaba and Netflix in Q4 $CI $UTX $BABA $MSFT $NFLX $MPC $CRM $CPB $SHP\xe2\x80\xa6'",1.0

|positive|,2019-02-09 ,"b' As Newell Co $NWL Valuation Rose, Benchmark Capital Advisors Increased Its Stake; As Microsoft $MSFT Market Valuati\xe2\x80\xa6 https://t.co/Xs9tatTW6B'",1.0

|neutral|,2019-02-09 ,"b"" RT @MotleyFoolMoney: The Bezos letter, IPOs we're looking forward to, a sneak preview of next week's live Q&amp;A and that's just the start! @a\xe2\x80\xa6""",0.0

|positive|,2019-02-09 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|positive|,2019-02-09 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|positive|,2019-02-09 ,"b' RT @theflynews: In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive for EA.\xe2\x80\xa6'",4.0

|positive|,2019-02-09 ,"b' In an exclusive interview with The Fly, Stephens #analyst Jeff Cohen said ""Apex Legends"" is ""definitely"" #positive\xe2\x80\xa6 https://t.co/XXS5ly7k00'",4.0

|neutral|,2019-02-09 ,"b' Intrust Bank Na Increases Position in Microsoft $MSFT; As Southern Copper $SCCO Market Valuation Declined, Capital\xe2\x80\xa6 https://t.co/uona4k5pkj'",0.0

|positive|,2019-02-09 ,b' Microsoft $MSFT Shareholder Dana Investment Advisors Has Boosted Its Position; Crescent Point Energy Corp. $CPG Sha\xe2\x80\xa6 https://t.co/fSFsKClbPG',1.0

|neutral|,2019-02-09 ,b' Voloridge Investment Management Increases Stake in Cummins $CMI; Usca Ria Holding in Microsoft $MSFT Trimmed by $1.\xe2\x80\xa6 https://t.co/irfIzHejDP',0.0

|positive|,2019-02-09 ,b' Camarda Financial Advisors Increased Its Anworth Mortgage Asset Cp $ANH Position by $1.43 Million; Perkins Coie Tru\xe2\x80\xa6 https://t.co/3i4ewKI5ml',3.0

|neutral|,2019-02-09 ,b' Microsoft $MSFT Holder Lathrop Investment Management Decreased Holding by $1.64 Million as Stock Value Declined; Co\xe2\x80\xa6 https://t.co/6hMoqRqRGS',0.0

|neutral|,2019-02-09 ,"b"" RT @Teqmine: Download @Teqmine's analysis of #Microsoft  , #Google and #Amazon Patent Strategies 2009-2018. How they are converging and wha\xe2\x80\xa6""",0.0

